[07.18.2022 16:24:35 | INFO]: ['https://web.telegram.org/k/#@apollostrong', 'https://web.telegram.org/k/#@webpack_ru', 'https://web.telegram.org/k/#@RewriteH', 'https://web.telegram.org/k/#@sanch941', 'https://web.telegram.org/k/#@Baxxterkhv', 'https://web.telegram.org/k/#@romanm2000', 'https://web.telegram.org/k/#@mulfyx', 'https://web.telegram.org/k/#@SergioZhidkov', 'https://web.telegram.org/k/#@future_undefined', 'https://web.telegram.org/k/#@oxios', 'https://web.telegram.org/k/#@php_cat_com', 'https://web.telegram.org/k/#@jack_daniels_78', 'https://web.telegram.org/k/#@eldarda', 'https://web.telegram.org/k/#412245982']
[07.18.2022 16:24:35 | INFO]: sqlite connection is closed
[07.18.2022 16:24:35 | INFO]: https://web.telegram.org/k/#@apollostrong
[07.18.2022 16:24:35 | INFO]: Пользователь есть в базе
[07.18.2022 16:24:41 | INFO]: ['https://web.telegram.org/k/#@apollostrong', 'https://web.telegram.org/k/#@webpack_ru', 'https://web.telegram.org/k/#@RewriteH', 'https://web.telegram.org/k/#@sanch941', 'https://web.telegram.org/k/#@Baxxterkhv', 'https://web.telegram.org/k/#@romanm2000', 'https://web.telegram.org/k/#@mulfyx', 'https://web.telegram.org/k/#@SergioZhidkov', 'https://web.telegram.org/k/#@future_undefined', 'https://web.telegram.org/k/#@oxios', 'https://web.telegram.org/k/#@php_cat_com', 'https://web.telegram.org/k/#@jack_daniels_78', 'https://web.telegram.org/k/#@eldarda', 'https://web.telegram.org/k/#412245982']
[07.18.2022 16:24:41 | INFO]: sqlite connection is closed
[07.18.2022 16:24:41 | INFO]: https://web.telegram.org/k/#@SergioZhidkov
[07.18.2022 16:24:41 | INFO]: Пользователь есть в базе
[07.18.2022 16:24:43 | INFO]: Пауза
[07.18.2022 16:24:47 | INFO]: ['https://web.telegram.org/k/#@apollostrong', 'https://web.telegram.org/k/#@webpack_ru', 'https://web.telegram.org/k/#@RewriteH', 'https://web.telegram.org/k/#@sanch941', 'https://web.telegram.org/k/#@Baxxterkhv', 'https://web.telegram.org/k/#@romanm2000', 'https://web.telegram.org/k/#@mulfyx', 'https://web.telegram.org/k/#@SergioZhidkov', 'https://web.telegram.org/k/#@future_undefined', 'https://web.telegram.org/k/#@oxios', 'https://web.telegram.org/k/#@php_cat_com', 'https://web.telegram.org/k/#@jack_daniels_78', 'https://web.telegram.org/k/#@eldarda', 'https://web.telegram.org/k/#412245982']
[07.18.2022 16:24:47 | INFO]: sqlite connection is closed
[07.18.2022 16:24:47 | INFO]: https://web.telegram.org/k/#@webpack_ru
[07.18.2022 16:24:47 | INFO]: Пользователь есть в базе
